state	joint	prior	likelihood	treeModel.rootHeight	age(root)	treeLength	tmrca(marine)	age(marine)	exponential.popSize	exponential.growthRate	gtr.rates.rateAC	gtr.rates.rateAG	gtr.rates.rateAT	gtr.rates.rateCG	gtr.rates.rateCT	gtr.rates.rateGT	frequencies1	frequencies2	frequencies3	frequencies4	alpha	clock.rate	marine.rate	meanRate	coefficientOfVariation	covariance	treeLikelihood	branchRates	coalescent
201840000	-18521.931055243924	-515.5650251908055	-18006.36603005312	1.2255739594310038	2022.6073027528978	34.12789459411784	0.9391728745333285	2022.8937038377953	407.17915551742425	6.07466465755777	0.2709323724403293	2.346431901680556	0.17264007968631379	0.04705894893417887	2.9263501192791157	0.23658657797952068	0.31892612808136267	0.2196323992828366	0.22899431207889162	0.23244716055690848	1.1325811242023274	0.010973398755109281	0.004196186971472831	0.00991856100052213	0.18337588778120434	0.9837066899825473	-18006.36603005312	0.0	-503.06496954266095
201920000	-18523.23695756864	-507.20081440488866	-18016.03614316375	1.2108432205125388	2022.6220334918162	33.10584786595241	0.9302065671871732	2022.9026701451414	702.4582690662598	6.612266280941007	0.3083876955818968	2.306117097220522	0.17487340253611722	0.03711332643283652	2.916413589197319	0.25709488903132227	0.3200844087909462	0.20850517304503888	0.22762764412653186	0.24378277403748294	1.1665066706538743	0.011489758092640249	0.004364246377476524	0.010323071369866635	0.1841784359866078	0.9837066899825379	-18016.03614316375	0.0	-493.4952397425782
202000000	-18513.662891444426	-479.1158109965263	-18034.5470804479	1.1892431984632261	2022.6436335138656	30.683401606485386	0.9152875801898842	2022.9175891321388	1354.3333543886424	7.654328024989459	0.2993504535229602	2.496676640259963	0.1610635082099853	0.101006857504633	2.684752171047448	0.25715036945502473	0.31117036393754693	0.21483145240527324	0.22063145899919964	0.25336672465797994	0.9416575177112084	0.012206296839399772	0.00622110713045639	0.011295837081476617	0.14391891354877862	0.9837066899825546	-18034.5470804479	0.0	-463.84046125275114
202080000	-18487.316356452207	-458.27211675001695	-18029.04423970219	1.177585742880923	2022.6552909694478	29.48937493713033	0.8804265604750828	2022.9524501518536	201.73686390620819	5.474454909114843	0.29409758170519446	2.3970695496832763	0.17507068638383194	0.031151427176229776	2.8932493013734737	0.20936145367800765	0.3132920887028677	0.2104632808671933	0.23373871632396334	0.2425059141059757	0.951730417194634	0.01231436951881934	0.0053764566766295605	0.011302787880203441	0.16645958070808142	0.9837066899825277	-18029.04423970219	0.0	-447.08064739428426
202160000	-18508.805662839717	-479.3273391545974	-18029.478323685118	1.1678049500509153	2022.6650717622779	30.693029797159955	0.897407266972408	2022.9354694453564	1682.2385672994578	7.9516694206543646	0.2953958628151966	2.434826912305046	0.16344740979789235	0.036691888392982666	2.8887474772102495	0.18089044947864674	0.3206353854768191	0.20730481694241695	0.23090622367541366	0.24115357390535	1.0906798658958348	0.012795317668640857	0.004368765421300376	0.011460061447894448	0.19627072938576914	0.9837066899825246	-18029.478323685118	0.0	-463.4062553957953
202240000	-18506.81570386102	-466.1343141995572	-18040.681389661462	1.114871557939332	2022.7180051543894	30.30131276698252	0.9272071218979292	2022.9056695904308	177.8881176730518	5.212950721607228	0.28144840495371715	2.404254663312912	0.1681663763284247	0.049720897834981036	2.862742244210173	0.23366741335980445	0.31372862755110426	0.20868758212516877	0.22086054059295668	0.25672324973076993	0.676995126859484	0.012522995975250738	0.004630603668610222	0.011176637954110634	0.18734102433710667	0.9837066899825313	-18040.681389661462	0.0	-456.04036933641066
202320000	-18542.5618592253	-505.71597002087617	-18036.845889204425	1.2109682786995548	2022.6219084336292	32.684932397169945	0.9160766249237046	2022.916800087405	1333.9870018511594	7.517063071042013	0.2791775673009525	2.2840302666710524	0.16809918880532523	0.03672410532497121	2.943014087343108	0.28895478455460255	0.31566914414412445	0.2188840202656538	0.21847484912004314	0.24697198647017843	0.7681098056094017	0.010669861721841603	0.004624889247492015	0.009756764001052132	0.1674370761461013	0.9837066899825306	-18036.845889204425	0.0	-491.2461047848726
202400000	-18537.099830746352	-515.1926838286824	-18021.90714691767	1.2153646024299114	2022.6175121098988	33.54992474397284	0.8904260825059768	2022.9424506298228	1454.1225824960422	7.473421631198197	0.3033522771186739	2.5575275522868783	0.13498097094645123	0.0333716416124402	2.7824364536375357	0.1883311043980317	0.3149435803538799	0.2033969191436515	0.23387187426213651	0.24778762624033213	1.4957038618208456	0.01132292884395232	0.005259256877771734	0.010454550434059863	0.15782376664228798	0.9837066899825476	-18021.90714691767	0.0	-499.1053546572651
202480000	-18550.14875389692	-499.6934158746982	-18050.45533802222	1.2198834886338137	2022.612993223695	33.58427653327263	0.9552854420399571	2022.8775912702888	759.8814429471879	6.832041841918488	0.3030102222201438	2.586025464109003	0.18070146626028902	0.0509554433885166	2.66539692096875	0.2139104830533066	0.31126904792416915	0.21582780699793697	0.22482725295342762	0.24807589212446612	0.7775309886671937	0.011408883539002658	0.0038343136358000383	0.010132117973696689	0.1979631062794436	0.9837066899825277	-18050.45533802222	0.0	-486.56002962257656
202560000	-18498.856300938256	-502.8671775126921	-17995.989123425563	1.2192661992693723	2022.6136105130593	32.21771544467451	0.9090577756447099	2022.923818936684	365.0325541938173	5.8092719399854476	0.30048284710297063	2.6150940122091666	0.1479703925535222	0.05940759600423633	2.6354807523068415	0.24156439982326997	0.3050810912129417	0.21326827402319357	0.23797540468663292	0.2436752300772317	0.938581361406768	0.011595760565198888	0.005137999611593297	0.010750073623741805	0.1644444463339605	0.9837066899825385	-17995.989123425563	0.0	-490.85949031298895
202640000	-18527.30239437483	-502.6731305807504	-18024.62926379408	1.1944055551480588	2022.6384711571807	33.21867646654386	0.9068792050765047	2022.9259975072523	543.5736204855874	6.424376813510261	0.2451122605839714	2.4263278843819944	0.1807263492734746	0.043344528649289574	2.892067144274182	0.21242183283709568	0.31685484249902895	0.21257217746707585	0.2299369973162075	0.24063598271768752	0.9621798955540353	0.011578942891104995	0.004860790493493548	0.01047401667786367	0.1716862292597604	0.983706689982538	-18024.62926379408	0.0	-489.7614840668674
