state	joint	prior	likelihood	treeModel.rootHeight	age(root)	treeLength	tmrca(marine)	age(marine)	exponential.popSize	exponential.growthRate	gtr.rates.rateAC	gtr.rates.rateAG	gtr.rates.rateAT	gtr.rates.rateCG	gtr.rates.rateCT	gtr.rates.rateGT	frequencies1	frequencies2	frequencies3	frequencies4	alpha	clock.rate	marine.rate	meanRate	coefficientOfVariation	covariance	treeLikelihood	branchRates	coalescent
80000	-38346.16908388102	-533.5635652298902	-37812.60551865113	1.2084138048703892	2022.6244629074583	36.02663986452767	0.9254222924993382	2022.9074544198293	549.9871048448978	6.144237970930053	0.3146954266082207	2.303822476221169	0.140647047212083	0.061964421827042024	2.9103040899278363	0.2685665382036692	0.33082738879881257	0.1918980361358945	0.24606246737734516	0.23121210768794742	0.2924700776843375	0.005265679206482204	0.0023248672877364557	0.004805559414553209	0.16493450580209204	0.983706689982527	-37812.60551865113	0.0	-523.2595013887286
160000	-38332.62614544453	-519.2146824001661	-37813.41146304436	1.1403938446635489	2022.6924828676651	33.74520248717906	0.9639775993136133	2022.868899113015	671.0247293172429	6.440585961056928	0.39226159548341644	2.149002496793497	0.1699465573473463	0.06360108762352845	2.949826689133099	0.27536157361913444	0.3327097809801478	0.1953500390529107	0.24114260012707783	0.23079757983986332	0.26888945271860615	0.005693456810734558	0.0029635788218701806	0.005294530506362929	0.14059386510146718	0.9837066899825664	-37813.41146304436	0.0	-508.19918742793146
240000	-38338.37054245512	-541.986078842054	-37796.38446361307	1.1742929281053183	2022.6585837842233	36.399132648132	0.9599372705874726	2022.8729394417412	404.00404424611963	5.717402474059267	0.39182901633905737	2.265460050559754	0.16107463275719217	0.049673485448924956	2.8663590212140218	0.26560379368107184	0.32943144636739785	0.1933370189879662	0.24547350242644414	0.2317580322181917	0.22654854599159316	0.00517744984654359	0.0021197609831292196	0.0047430219596389525	0.17492074812452335	0.9837066899825154	-37796.38446361307	0.0	-532.5652525614062
320000	-38357.480971059784	-548.5367493608197	-37808.94422169896	1.2518411628389612	2022.5810355494898	36.330747322900194	0.9464250689560914	2022.8864516433725	436.7688659910005	5.807501620299849	0.3937298748573968	2.1398940199028855	0.14784427493443625	0.04705233703477167	3.001854110483105	0.26962538278742565	0.3331385859738976	0.19455180017034615	0.23936950591563366	0.23294010794012224	0.25496144833497836	0.005202490840617685	0.0028872170323550367	0.004910098207640436	0.13009058333623572	0.9837066899825367	-37808.94422169896	0.0	-538.6823358049863
400000	-38339.62387191877	-512.510879771905	-37827.11299214686	1.1752424242710662	2022.6576342880576	33.62333888336985	0.9415957096136042	2022.891281002715	1003.6841260226794	6.990712756455426	0.4191982669046999	2.1727516815663344	0.17547501779663977	0.0362754475932181	2.930563764035203	0.26573582210392427	0.33269463829498463	0.194245522452283	0.24473546382346278	0.22832437542926953	0.2526624311104772	0.005921185014754562	0.0024343482527826713	0.0053941945729554415	0.17438923381496976	0.9837066899825362	-37827.11299214686	0.0	-500.66313314110937
480000	-38353.49670704917	-547.2185421827639	-37806.2781648664	1.1722618354289485	2022.6606148768997	36.08131399641719	0.9415596792246699	2022.891317033104	923.3569762727608	6.795773614606274	0.4305073761672943	2.246880863943195	0.1729447725013709	0.05230758828702358	2.815947169015289	0.28141223008584487	0.33230887842065665	0.19495121630101897	0.24175407584094913	0.230985829437375	0.2482729788923655	0.005286311386121664	0.003051477207235477	0.004987809050028222	0.12333328638715679	0.9837066899825448	-37806.2781648664	0.0	-535.6200635945959
560000	-38376.60108424432	-548.2530197798847	-37828.34806446444	1.2159196647779738	2022.6169570475506	36.36360507018176	0.9069278604650054	2022.9259488518637	1347.5563430588093	7.051342902694468	0.355842157836662	2.3284796036484776	0.16572368451606045	0.03109557071843643	2.8040568384883477	0.31480214479203394	0.32378454571409276	0.1970042771100941	0.24310345745800774	0.23610771971780536	0.24634912456015548	0.00492761512703546	0.0025724545214819783	0.004618332404932736	0.1401274784450772	0.9837066899825418	-37828.34806446444	0.0	-536.1585845591762
640000	-38375.05264415655	-545.3650688432176	-37829.687575313335	1.197589866992426	2022.6352868453362	35.617916814056706	0.9014281834624819	2022.9314485288662	658.3255866638599	6.163277779125087	0.36978311311678175	2.1346689102729672	0.20342029453061336	0.04104070970490849	2.985130614789689	0.26595635758505953	0.330130539126893	0.19815430861005556	0.24126357974860702	0.2304515725144443	0.2518008453219476	0.005164317475589171	0.002822990730228023	0.004864027372747935	0.1326260455371148	0.9837066899825255	-37829.687575313335	0.0	-534.761481740855
720000	-38371.33665367944	-544.5942185417155	-37826.74243513773	1.196793527175802	2022.636083185153	36.433435874673	0.9337394683488008	2022.8991372439798	492.5377389674597	5.7876814908202	0.3538053665532044	2.3234158293369225	0.1900456531481086	0.0547634870561871	2.831564125144647	0.24640553876094967	0.3341731564237035	0.19440044020915073	0.23831652054201044	0.23310988282513542	0.24571445555025404	0.005142078696350071	0.0023673938713227355	0.004747407167206185	0.1590855866444397	0.9837066899825254	-37826.74243513773	0.0	-534.8244083536543
800000	-38365.78790394767	-526.0304919609164	-37839.75741198675	1.1431778299895314	2022.6896988823391	35.06150698651795	0.9229974458416845	2022.909879266487	1443.1740371915228	7.2952261986912355	0.38963791038952705	2.153923187512131	0.16083907458133884	0.044596399081093724	2.9713566417529713	0.2796467866829575	0.33006409528804254	0.20004404846699983	0.23890375347989617	0.23098810276506165	0.2960158290943683	0.0053719329849717164	0.0021334304548124416	0.004861767000789507	0.17875683055812014	0.9837066899825225	-37839.75741198675	0.0	-513.6107986557014
880000	-38340.748832332385	-531.1384232686919	-37809.610409063695	1.1723458293571711	2022.6605308829714	35.03938521143252	0.9595250009264489	2022.8733517114022	208.54180478249629	4.929559317963019	0.4067708143861857	2.284777145743124	0.15185252659078233	0.057346588278106334	2.81725459602033	0.28199832898149063	0.3308890707348278	0.196677648412181	0.2448476749340289	0.22758560591896265	0.2797705017483031	0.005140213769443041	0.002292744703071028	0.004730459296467052	0.16353032457974054	0.9837066899825325	-37809.610409063695	0.0	-523.0050022905494
960000	-38346.25049395655	-512.021823149814	-37834.22867080673	1.2622136983376766	2022.570663013991	33.68633786945896	0.9500695661858533	2022.8828071461428	175.1291411083665	4.963801056093325	0.42801208562370663	2.2356225319386818	0.16567556556337037	0.04230369838128511	2.8584160545095934	0.26997006398338264	0.33348333708136285	0.19235862488270294	0.2444186859112311	0.22973935212470337	0.23536515121473195	0.005641039464848846	0.0025426507871355586	0.005182097389965122	0.16207359697658777	0.9837066899825189	-37834.22867080673	0.0	-503.98171849236354
